name,cpf,birthDate,motherName,cnpj,genre,createdAt
Maria Júlia Duarte,584.902.763-74,1956-01-19T22:06:44.584070,Sophie Aparecida,,Feminino,2025-07-01T05:47:07.301550
Bruna Duarte,308.956.142-51,1978-12-22T01:29:56.337474,Gabrielly Cardoso,,Feminino,2024-04-14T20:53:05.350720
Davi Carvalho,658.031.729-95,1949-04-03T17:16:03.182091,Maria Laura Pereira,,Masculino,2025-03-19T15:08:33.732101
Daniel Peixoto,412.076.389-78,1946-09-04T21:11:24.403312,Raquel Duarte,,Masculino,2025-09-30T02:40:02.286383
Sofia Pastor,829.067.351-59,1968-01-17T21:16:55.790600,Brenda Albuquerque,,Feminino,2025-09-16T13:19:43.481893
Ravy Aragão,812.649.537-55,1960-08-14T09:26:21.425840,Luiza Rezende,,Masculino,2025-05-19T01:07:56.440007
Arthur Miguel Caldeira,610.723.948-04,1957-08-29T18:54:30.300755,Manuela da Conceição,,Masculino,2025-05-16T06:47:17.365700
Vitor Gabriel Pimenta,635.948.071-93,2003-12-23T09:34:53.752999,Nicole Moraes,,Masculino,2024-06-24T06:37:40.060884
Yasmin Andrade,376.524.901-70,1960-09-25T18:43:12.244405,Luana da Conceição,,Feminino,2024-03-19T15:44:16.413236
Sofia Aragão,731.540.698-01,1976-05-30T00:39:53.026845,Melissa Abreu,,Desconhecido,2025-07-08T03:18:42.830220
Asafe Pacheco,609.748.153-57,1973-04-05T22:35:55.431033,Luana Farias,,Masculino,2024-09-15T12:32:34.887003
Yuri Cardoso,695.187.042-01,2002-11-04T14:40:38.466441,Bella Sampaio,,Masculino,2025-06-16T11:25:38.490628
Alexandre Abreu,409.731.568-48,1952-06-17T00:49:20.680050,Marina Ramos,,Desconhecido,2025-02-07T09:36:42.378136
Cauã Carvalho,730.891.245-05,1984-01-03T12:33:19.950868,Olivia Aparecida,,Desconhecido,2024-07-05T14:27:38.677584
Nathan Lopes,153.469.028-05,1981-06-05T09:14:34.331937,Maria Helena das Neves,,Masculino,2025-06-20T03:01:08.146256
Hellena Ribeiro,928.145.307-04,1959-02-19T07:48:01.754533,Anna Liz Rios,,Feminino,2024-03-24T20:03:27.223828
Clara Martins,216.983.450-89,1951-11-07T06:54:28.352863,Júlia Pimenta,,Feminino,2025-07-14T05:56:47.231393
Mateus Costa,315.427.896-64,1957-04-10T10:39:23.682355,Ana Luiza Fogaça,,Desconhecido,2025-04-20T08:07:14.798011
Igor Vieira,174.802.359-41,1950-11-02T19:10:36.490458,Sophie Jesus,,Masculino,2024-08-19T03:40:53.508520
Ryan Lima,168.794.320-69,1950-08-25T21:06:07.569090,Ana Laura Casa Grande,,Desconhecido,2025-06-17T04:23:14.433588
Anna Liz Correia,041.976.385-66,1959-11-13T21:11:11.282194,Camila Vasconcelos,,Desconhecido,2024-03-09T06:11:00.014282
Thiago Farias,017.952.438-05,1974-12-02T12:45:02.794897,Natália Barbosa,,Desconhecido,2023-11-16T10:24:02.536194
Clara Correia,256.980.473-83,1976-02-19T06:29:54.215504,Ana Vitória Porto,,Feminino,2025-06-23T12:36:10.023073
Matteo Borges,165.038.974-48,1998-01-05T00:27:03.585746,Maria Helena Pimenta,,Masculino,2024-11-16T05:20:22.168368
Davi Luiz Lima,649.801.235-89,1967-07-25T00:58:23.166200,Valentina Silveira,,Masculino,2025-02-15T08:04:56.895922
Nathan Pires,538.946.270-00,1964-05-01T12:50:55.578490,Ayla Nascimento,,Desconhecido,2025-06-21T09:23:22.768644
Agatha Macedo,679.125.830-68,1977-09-07T07:34:02.335529,Maria Júlia da Cunha,,Feminino,2025-01-29T06:59:28.317840
Yuri Alves,203.786.951-77,1968-04-02T13:00:55.571066,Alexia Camargo,,Masculino,2024-11-05T10:53:16.655295
Davi da Rocha,714.836.502-35,1951-02-06T01:37:00.832762,Ana Lívia Pereira,,Desconhecido,2024-07-07T22:07:01.298620
Marcelo Rezende,042.839.176-13,1992-06-23T06:25:50.063496,Bruna Ribeiro,,Masculino,2024-06-03T00:45:44.571498
Arthur Fernandes,679.180.354-10,1984-12-02T15:53:46.933334,Letícia da Mota,,Masculino,2025-03-13T19:03:59.457228
Ian Alves,741.682.095-20,1956-05-30T10:55:06.757520,Ana Cecília Melo,,Masculino,2023-12-07T08:40:31.846195
Ísis Pacheco,215.689.304-70,1952-09-08T19:09:01.782923,Maria Vitória Dias,,Feminino,2023-10-27T01:50:44.020452
Maria Fernanda Macedo,517.326.840-90,1954-12-29T10:07:30.956768,Lorena Dias,,Desconhecido,2024-12-16T01:37:48.129799
Fernanda Andrade,286.950.417-94,1961-12-03T06:06:31.147865,Pietra Correia,,Feminino,2025-07-11T15:26:23.354669
Hadassa Cunha,159.784.630-93,1951-01-06T13:37:37.162438,Milena Novaes,,Feminino,2024-06-07T02:27:26.036877
Gustavo Henrique Costa,763.815.249-28,1976-05-09T16:20:02.189408,Fernanda Nogueira,,Masculino,2024-02-04T08:06:35.366091
Arthur Gabriel Azevedo,710.982.435-79,1951-07-23T00:11:29.965847,Sarah Rezende,,Masculino,2025-09-26T08:32:16.502473
Ester Mendonça,439.682.071-22,1949-08-08T00:46:11.196429,Rebeca Oliveira,,Feminino,2024-04-06T11:40:33.256242
Gustavo Martins,469.387.501-57,1953-03-28T09:33:01.823695,Heloisa Gomes,,Masculino,2025-07-19T22:10:56.144635
Fernanda da Luz,537.602.198-02,1980-09-22T22:00:03.294223,Maria Helena Pereira,,Feminino,2025-09-02T10:37:17.516767
Kevin Ribeiro,318.749.025-50,1975-11-27T23:53:56.897972,Isabel Brito,,Masculino,2024-12-21T00:50:22.515968
Enzo Fogaça,329.814.765-64,1955-09-01T12:57:22.653778,Clarice Gomes,,Masculino,2025-03-28T20:28:37.256511
Rebeca da Rosa,698.024.751-49,1971-08-20T00:39:58.386110,Eloah Nogueira,,Feminino,2024-10-12T14:06:23.766605
Luiza Ribeiro,185.703.469-48,1948-03-19T20:59:28.412767,Melina Moraes,,Desconhecido,2024-05-09T16:04:05.420765
Ester da Conceição,075.138.269-86,1972-07-08T22:11:38.376516,Julia Caldeira,,Feminino,2024-03-21T23:52:01.377321
Sophie Vieira,240.369.875-00,1946-07-06T17:49:15.035505,Catarina Sá,,Desconhecido,2025-04-04T22:50:54.910881
Beatriz Aragão,641.382.905-24,1963-09-16T14:40:24.460597,Alana da Luz,,Desconhecido,2024-10-07T20:10:36.930244
Marina Freitas,907.642.531-07,1954-04-06T02:36:00.648488,Ana Júlia Gomes,,Feminino,2024-04-26T15:39:46.760996
Lorenzo Martins,792.513.480-14,1983-02-06T10:32:03.689167,Gabriela Porto,,Masculino,2025-07-11T12:30:42.180261
Isabel Moraes,983.260.145-24,1981-05-12T23:32:57.715711,Lavínia Sampaio,,Feminino,2023-12-06T20:03:24.501189
Davi Lucca Rios,862.197.304-96,1952-01-19T16:33:07.339450,Luana Costa,,Desconhecido,2025-08-18T04:46:48.829902
Clara Nunes,873.941.605-48,2003-08-13T14:04:33.233132,Maria Laura Correia,,Desconhecido,2025-07-15T03:55:55.579508
Maria Liz Fernandes,047.921.568-58,2007-07-09T21:00:22.073833,Cecília Moura,,Desconhecido,2025-10-06T23:28:43.780390
Julia Albuquerque,796.081.543-75,1996-03-03T12:31:51.319510,Maria Liz Câmara,,Feminino,2024-08-18T07:32:52.636744
Ian Pastor,097.326.158-77,1985-01-10T12:29:00.941080,Maria Flor da Conceição,,Masculino,2024-02-18T03:11:18.828488
Dante da Conceição,293.748.615-00,1987-10-06T22:24:48.560927,Olivia Farias,,Masculino,2025-05-08T14:53:47.633448
Olívia Costa,021.459.867-58,1999-01-07T16:41:55.794650,Alexia Martins,,Feminino,2024-12-15T00:10:58.945085
Beatriz Sá,194.672.830-69,1979-10-03T19:42:51.522489,Luísa Martins,,Desconhecido,2024-12-14T21:20:22.156945
Maysa Barros,614.890.527-20,1975-07-20T02:32:35.722206,Cecilia Sousa,,Feminino,2024-09-05T11:43:37.164393
Sophia Pimenta,938.147.256-46,2007-03-12T08:38:58.635545,Ana Julia Garcia,,Feminino,2025-07-02T20:53:15.205884
Jade Souza,059.436.182-60,1963-11-25T15:59:50.754190,Marcela Pimenta,,Feminino,2025-08-01T09:20:14.981865
Juan Alves,658.270.391-95,1952-01-09T13:08:16.165148,Maria Luiza Carvalho,,Desconhecido,2024-04-11T22:10:34.108857
Luiz Otávio Mendonça,418.679.053-10,1977-12-12T01:07:38.196205,Letícia Mendes,,Desconhecido,2024-07-22T09:32:57.748893
Gustavo Borges,294.751.803-97,1990-08-18T07:58:28.131641,Julia Cassiano,,Masculino,2025-08-13T00:25:56.954667
Davi Luiz Machado,825.910.637-02,1981-10-23T15:34:16.887850,Cecília Rocha,,Masculino,2024-07-22T21:55:41.270878
Amanda Guerra,316.258.470-17,1999-01-18T14:15:44.578507,Ana Laura Siqueira,,Feminino,2025-01-19T11:04:01.407209
Catarina Pires,310.572.689-68,1956-05-25T17:52:19.199991,Ana Liz Leão,,Feminino,2024-05-05T22:40:50.194885
Arthur Gabriel Castro,621.480.935-33,1949-09-03T06:37:28.441851,Clara da Conceição,,Masculino,2025-03-14T14:44:37.988947
Nicole Ribeiro,017.385.624-17,1974-09-29T14:49:17.294031,Ágatha da Costa,,Desconhecido,2024-05-21T23:11:35.961159
Larissa Vargas,903.716.258-40,1972-07-31T03:54:49.909260,Heloisa Cavalcante,,Feminino,2024-08-22T11:39:57.614900
Aurora da Costa,602.859.371-03,1975-01-12T19:22:37.800691,Cecília Pacheco,,Feminino,2024-04-05T13:15:15.910034
Vitória Gonçalves,208.739.541-14,1986-01-10T21:35:17.307484,Alana Silva,,Desconhecido,2025-03-10T13:53:01.917178
Isadora Fernandes,849.201.573-04,1975-02-15T16:33:49.730461,Milena Ribeiro,,Feminino,2024-09-22T08:22:38.126204
Felipe Moraes,245.976.310-70,1977-03-02T19:22:04.538591,Eloá Cunha,,Masculino,2025-06-15T07:57:33.014128
Isabel da Paz,958.043.621-51,1948-08-09T13:37:35.621878,Maria Luísa Correia,,Feminino,2024-05-02T07:23:10.710216
André Lopes,628.401.597-67,1956-07-28T16:27:19.245246,Daniela Peixoto,,Masculino,2025-09-11T08:22:25.106017
Maria Laura Marques,386.547.291-55,1958-02-01T08:47:58.742142,Aurora Barros,,Feminino,2024-04-09T09:27:54.595974
Guilherme Cavalcante,164.528.973-73,1961-03-20T07:32:12.764822,Emanuelly Caldeira,,Desconhecido,2024-03-10T22:43:10.793890
Luiza Albuquerque,496.107.523-06,1959-04-05T12:39:46.738376,Maya Novais,,Feminino,2024-05-08T08:30:15.249316
Benjamin Oliveira,423.678.051-80,1974-09-21T07:41:05.720175,Letícia da Mata,,Masculino,2025-05-16T05:04:16.933653
Marina da Paz,485.769.120-58,1962-02-18T03:22:59.198356,Elisa Rios,,Desconhecido,2024-05-19T02:27:00.240648
Clarice Freitas,098.561.432-33,1977-04-12T05:39:19.802583,Maria Clara Castro,,Feminino,2024-02-04T19:33:52.474451
Samuel Ramos,760.914.352-99,1995-10-18T22:32:06.315674,Giovanna Teixeira,,Masculino,2024-12-16T18:27:55.353329
Luiz Miguel Montenegro,319.582.467-19,1984-01-18T08:15:31.912635,Isabela Silveira,,Desconhecido,2024-12-27T18:37:09.960876
Heloísa Vasconcelos,951.837.402-32,2004-02-09T19:16:35.988312,Larissa Marques,,Desconhecido,2024-10-15T06:48:28.801578
João Vitor Nunes,091.325.476-25,1947-04-05T12:10:36.844428,Luiza Araújo,,Masculino,2024-07-21T23:36:39.742162
Ian Peixoto,912.673.804-03,1984-08-19T22:53:56.978455,Olivia Nogueira,,Masculino,2024-01-13T15:50:11.817736
Ravi Lucca Montenegro,821.573.649-19,1980-08-17T22:28:19.559430,Manuella Peixoto,,Masculino,2024-11-18T13:32:57.886882
Ana Lívia Moura,392.075.186-86,1987-01-13T13:02:34.816912,Rafaela Leão,,Desconhecido,2025-09-01T14:28:40.371739
Luiza Duarte,057.819.243-88,1987-03-08T06:25:47.292918,Amanda Duarte,,Feminino,2024-01-20T21:37:28.559307
Sophie Brito,271.865.904-11,1972-07-12T02:50:06.604440,Maria Alice Cunha,,Feminino,2025-08-30T00:17:15.845250
Benjamim Rezende,386.524.790-38,1994-08-18T06:17:52.489157,Lara Nogueira,,Masculino,2025-04-27T05:37:34.958416
Maria Julia Gomes,856.094.372-29,1984-05-14T14:07:54.588646,Marcela Costela,,Feminino,2025-01-11T19:44:48.428286
Benício Caldeira,475.819.036-48,1948-08-01T19:42:39.045093,Melina Nogueira,,Desconhecido,2024-11-22T22:41:01.861170
Bruno Costa,198.605.342-33,1985-04-14T18:21:16.899671,Caroline Costa,,Masculino,2024-07-30T09:32:06.069639
Thales Sousa,742.803.569-47,1973-11-02T08:22:14.603526,Luara Ribeiro,,Masculino,2025-07-15T15:09:05.445163
Lorenzo Correia,160.357.982-68,1951-11-01T12:55:37.775712,Daniela Fonseca,,Desconhecido,2025-01-24T11:43:25.869460
Alícia Casa Grande,064.357.189-20,1967-08-30T23:23:05.739635,Maria Alice Novais,,Desconhecido,2024-06-02T03:07:02.771875
Renan da Conceição,104.892.537-41,1970-07-09T02:17:13.997077,Cecilia Oliveira,,Masculino,2023-12-13T04:41:03.116848
Helena Fogaça,246.318.507-44,1969-11-26T21:54:32.643763,Allana Melo,,Feminino,2024-06-21T22:35:23.993155
Valentim Almeida,760.534.928-92,1999-06-21T18:19:18.389550,Emanuella Cavalcante,,Masculino,2024-08-24T09:52:40.525148
Maria Liz da Cunha,850.671.239-40,1961-03-03T14:20:15.561888,Mariana da Rocha,,Desconhecido,2025-04-03T14:07:13.612731
Ana Luiza Alves,276.531.980-40,1948-01-26T11:57:33.714203,Larissa Pacheco,,Feminino,2024-07-20T02:05:37.417071
Catarina Castro,613.820.549-98,1954-04-27T03:32:21.285683,Alice Rocha,,Desconhecido,2025-07-10T10:18:36.334793
Maria Eduarda Castro,851.364.097-20,1975-06-08T07:34:01.767703,Mariane Moura,,Feminino,2024-01-14T10:08:50.487593
Letícia Novais,586.172.940-94,1969-12-29T14:51:08.612745,Ana Gomes,,Feminino,2024-03-06T01:36:47.264715
Eduardo Peixoto,016.793.258-68,1999-12-05T20:20:56.972614,Caroline Nogueira,,Masculino,2024-03-05T00:51:12.652012
Isabel Fonseca,670.398.245-74,2004-04-21T12:42:22.656880,Joana Correia,,Desconhecido,2025-10-13T13:30:11.238075
Esther Mendonça,415.672.803-07,1960-06-03T23:42:16.220716,Bruna Pinto,,Feminino,2025-08-30T07:18:23.995370
Clarice Barbosa,871.539.602-95,1989-08-05T06:46:06.850219,Maria Laura Cassiano,,Feminino,2024-07-18T05:20:24.483497
Yago Rezende,965.318.247-19,1998-03-07T21:55:08.107549,Mariah Pereira,,Masculino,2024-10-30T08:46:48.439656
Eloah Caldeira,324.859.076-92,1974-06-30T16:41:31.319087,Allana Vargas,,Feminino,2024-03-17T23:25:33.156984
Lorenzo Melo,672.105.983-59,1947-06-28T00:25:14.126871,Maria Alice Porto,,Masculino,2024-07-15T05:15:54.999258
Bernardo Costela,591.834.062-98,1964-02-06T09:02:03.649685,Ana Lívia Nunes,,Masculino,2024-08-06T10:09:11.099887
Pedro Ramos,769.583.401-75,1952-02-08T02:33:31.494284,Raquel Leão,,Masculino,2024-06-12T09:44:07.304330
Bárbara da Paz,325.679.481-55,1952-05-16T16:29:25.732965,Clara Jesus,,Feminino,2024-05-03T03:07:22.706352
Josué Fogaça,709.318.625-40,1955-01-06T20:16:52.343622,Stella Gomes,,Masculino,2023-11-16T00:17:03.617488
Juan Sousa,904.235.671-52,1980-08-18T07:26:20.661393,Ana Júlia da Mota,,Desconhecido,2025-02-14T07:16:50.370686
Daniela Monteiro,546.732.981-28,1987-02-09T09:56:06.179929,Ana Liz Costela,,Feminino,2024-02-03T16:58:38.797823
Julia Montenegro,198.024.356-51,1988-02-22T04:12:10.692343,Juliana Gonçalves,,Feminino,2023-11-04T16:28:57.715648
Maysa Campos,754.628.301-90,1999-08-23T09:32:24.966028,Laís Albuquerque,,Feminino,2025-09-03T02:14:33.414575
Cauã da Cruz,672.315.408-80,1993-08-29T23:39:54.292831,Sarah Brito,,Masculino,2025-02-17T20:20:58.100976
Ana Beatriz Marques,734.158.096-84,1979-02-23T06:52:23.104563,Raquel Vieira,,Desconhecido,2025-01-14T09:48:31.006907
Milena Teixeira,904.286.357-92,1984-01-04T10:49:05.797689,Daniela Moreira,,Feminino,2025-09-22T14:56:20.463940
Francisco da Cruz,536.972.814-37,1993-12-01T10:10:24.349464,Ana Vitória Albuquerque,,Masculino,2024-06-02T05:16:42.196756
Stephany Leão,981.726.304-50,1978-03-23T22:40:55.687012,Heloísa Azevedo,,Feminino,2024-08-16T00:36:58.066262
Vitor Melo,628.340.791-96,1971-02-08T15:36:15.615248,Elisa da Mata,,Masculino,2024-11-18T18:20:41.920487
Moraes Ltda.,,,,51.807.264/0001-92,,2023-11-29T17:34:18.103715
João Felipe Rios,934.810.765-84,2000-05-18T16:57:14.034964,Allana Costela,,Masculino,2025-03-09T04:12:36.649668
Ester Marques,624.713.509-25,1970-04-13T02:09:21.374947,Julia Pacheco,,Desconhecido,2025-09-25T14:41:15.386605
Ana Beatriz da Mota,507.231.948-23,1948-04-29T04:32:04.140744,Maria Alice Camargo,,Desconhecido,2024-11-13T02:31:11.444864
Rael Castro,985.032.174-14,1948-02-25T00:02:48.569258,Maria Sophia Cavalcanti,,Masculino,2025-04-26T05:52:05.766169
Stephany Camargo,739.526.048-10,1994-11-06T21:27:18.861701,Maria Liz da Rocha,,Feminino,2024-04-06T01:37:29.731219
Brenda Marques,352.109.874-50,1963-09-21T18:31:38.788886,Ester Cirino,,Feminino,2025-07-04T20:22:20.041675
Antonella Pinto,938.715.204-97,1984-12-12T00:40:31.517084,Amanda Teixeira,,Desconhecido,2025-10-12T21:08:08.205427
Emilly Almeida,749.862.150-94,1984-03-27T09:19:26.704364,Jade da Rocha,,Desconhecido,2025-08-15T14:04:45.270533
Levi Mendes,682.074.139-13,2001-10-11T15:29:24.298210,Aurora Silveira,,Masculino,2025-08-25T04:28:59.760580
Vitor Hugo Costa,603.492.758-74,1948-04-02T13:41:03.489409,Sabrina Abreu,,Masculino,2025-02-25T20:19:48.769710
Luana Campos,123.947.685-09,1957-10-06T10:28:17.347691,Juliana Araújo,,Desconhecido,2024-07-03T18:21:35.141721
Benjamim Novais,319.845.760-20,2003-12-23T18:05:14.617844,Alana Silveira,,Desconhecido,2025-09-13T01:09:43.719433
Benjamim Vieira,530.912.674-07,1992-01-20T19:10:25.670755,Maria Liz Duarte,,Masculino,2023-12-04T08:03:36.541326
Daniel Melo,123.079.546-43,1969-04-04T01:42:48.266193,Ana Lívia Costela,,Desconhecido,2025-02-19T09:06:11.682652
João Vitor Sousa,027.153.486-90,1998-07-04T22:20:56.394228,Maria Fernanda da Conceição,,Masculino,2025-10-19T01:20:19.104394
Ana Julia Melo,870.129.365-68,1968-01-10T05:02:01.189173,Ayla Cavalcante,,Desconhecido,2024-10-25T19:45:20.604319
Sabrina Pereira,683.475.901-84,1982-02-26T08:11:32.627391,Clara Machado,,Desconhecido,2025-01-18T06:07:00.059319
Isabel Barros,532.481.970-05,1985-10-30T18:40:38.870403,Stephany Porto,,Feminino,2025-07-01T23:51:15.351735
Antonella da Mota,457.296.810-11,1987-09-06T04:43:08.848243,Maria Alice Sousa,,Feminino,2025-06-05T04:08:01.828848
Alícia das Neves,634.980.152-06,2002-08-27T16:57:43.218476,Maria Júlia Vargas,,Desconhecido,2025-07-12T06:02:29.199242
Luan Ramos,076.548.912-02,1985-02-27T03:13:52.847417,Isabel Silva,,Masculino,2025-10-06T20:40:05.936309
Francisco Camargo,906.513.782-30,1965-10-23T23:48:20.301530,Cecilia Caldeira,,Masculino,2023-12-15T10:06:42.662297
Gustavo Machado,947.358.260-92,1954-11-06T05:47:39.369660,Sofia Cassiano,,Desconhecido,2025-07-30T14:19:23.755659
Apollo da Mota,791.268.354-28,1979-04-02T05:50:02.351493,Juliana Souza,,Masculino,2025-09-05T06:36:41.680767
Clara Azevedo,958.641.037-48,1975-06-14T21:52:28.982266,Manuela Ferreira,,Feminino,2024-09-14T20:40:28.303389
Ana Vitória da Conceição,378.296.514-00,1979-09-10T20:40:47.594952,Maya Moreira,,Feminino,2025-05-09T17:43:35.447179
Rhavi Vargas,265.184.097-11,1980-02-13T19:46:12.785522,Valentina Câmara,,Masculino,2024-08-06T09:25:43.744218
Pedro Henrique Macedo,973.654.120-70,1962-11-18T08:52:59.017853,Manuela da Cruz,,Desconhecido,2025-08-28T16:19:19.115891
Isabela da Luz,205.917.438-41,1986-06-13T18:57:44.205902,Maria Clara Fogaça,,Desconhecido,2023-11-08T11:33:56.785689
Pietra Rodrigues,713.284.690-69,1976-12-05T10:33:21.868250,Marcela Sampaio,,Feminino,2023-11-30T12:07:04.230865
Davi Miguel Oliveira,413.086.572-26,1986-07-28T09:53:16.486209,Bella Teixeira,,Masculino,2024-05-17T15:57:29.318357
Luiz Fernando Lima,486.051.729-67,1954-06-26T16:32:05.061559,Maria Sophia Porto,,Masculino,2024-02-16T09:49:39.226289
Zoe Leão,849.531.602-15,1954-09-10T13:57:38.108942,Julia Rezende,,Feminino,2024-08-01T14:02:29.457228
Ana Laura Marques,928.617.503-59,2000-09-18T09:11:27.292915,Júlia Peixoto,,Desconhecido,2024-05-28T09:15:37.213384
Enzo Carvalho,453.179.802-32,1964-04-15T18:51:08.171204,Ana Beatriz Monteiro,,Masculino,2025-09-26T05:55:13.563312
Emanuel Montenegro,256.018.349-89,1972-02-27T20:19:36.575221,Sara Costela,,Masculino,2025-01-12T13:35:58.969080
Júlia Siqueira,514.372.608-53,1973-08-31T11:07:24.293221,Olivia Costela,,Desconhecido,2024-05-30T06:30:09.439415
Benicio Costa,613.725.480-17,2001-10-29T03:16:29.894296,Letícia da Mata,,Masculino,2025-05-02T20:06:23.631645
Agatha Macedo,158.096.327-77,2004-02-08T04:40:43.347266,Esther Moraes,,Feminino,2025-02-20T05:39:24.101388
Henrique Oliveira,791.203.568-03,1960-03-15T10:00:10.942274,Marina Pereira,,Masculino,2024-03-04T06:15:24.681029
Mirella Ramos,053.189.742-79,1966-10-18T06:06:56.033438,Rafaela Ferreira,,Feminino,2025-05-15T23:04:05.449502
Maria Clara Nunes,917.526.308-40,2005-11-28T12:47:35.108144,Ana Clara Sá,,Feminino,2024-11-17T22:06:56.685584
Anna Liz Mendonça,195.078.462-20,1977-08-28T13:35:13.328789,Evelyn da Rocha,,Feminino,2024-11-05T09:30:20.384761
Leandro Monteiro,568.047.912-58,1959-09-15T18:07:13.849487,Maria Monteiro,,Desconhecido,2025-07-31T17:06:04.174689
